date,day,month,year,quarter,week,is_weekend
2023-05-09,9,5,2023,2,19,False
2023-05-10,10,5,2023,2,19,False
2023-05-11,11,5,2023,2,19,False
2023-05-12,12,5,2023,2,19,False
2023-05-13,13,5,2023,2,19,True
2023-05-14,14,5,2023,2,19,True
2023-05-15,15,5,2023,2,20,False
2023-05-16,16,5,2023,2,20,False
2023-05-17,17,5,2023,2,20,False
2023-05-18,18,5,2023,2,20,False
2023-05-19,19,5,2023,2,20,False
2023-05-20,20,5,2023,2,20,True
2023-05-21,21,5,2023,2,20,True
2023-05-22,22,5,2023,2,21,False
2023-05-23,23,5,2023,2,21,False
2023-05-24,24,5,2023,2,21,False
2023-05-25,25,5,2023,2,21,False
2023-05-26,26,5,2023,2,21,False
2023-05-27,27,5,2023,2,21,True
2023-05-28,28,5,2023,2,21,True
2023-05-29,29,5,2023,2,22,False
2023-05-30,30,5,2023,2,22,False
2023-05-31,31,5,2023,2,22,False
2023-06-01,1,6,2023,2,22,False
2023-06-02,2,6,2023,2,22,False
2023-06-03,3,6,2023,2,22,True
2023-06-04,4,6,2023,2,22,True
2023-06-05,5,6,2023,2,23,False
2023-06-06,6,6,2023,2,23,False
2023-06-07,7,6,2023,2,23,False
2023-06-08,8,6,2023,2,23,False
2023-06-09,9,6,2023,2,23,False
2023-06-10,10,6,2023,2,23,True
2023-06-11,11,6,2023,2,23,True
2023-06-12,12,6,2023,2,24,False
2023-06-13,13,6,2023,2,24,False
2023-06-14,14,6,2023,2,24,False
2023-06-15,15,6,2023,2,24,False
2023-06-16,16,6,2023,2,24,False
2023-06-17,17,6,2023,2,24,True
2023-06-18,18,6,2023,2,24,True
2023-06-19,19,6,2023,2,25,False
2023-06-20,20,6,2023,2,25,False
2023-06-21,21,6,2023,2,25,False
2023-06-22,22,6,2023,2,25,False
2023-06-23,23,6,2023,2,25,False
2023-06-24,24,6,2023,2,25,True
2023-06-25,25,6,2023,2,25,True
2023-06-26,26,6,2023,2,26,False
2023-06-27,27,6,2023,2,26,False
2023-06-28,28,6,2023,2,26,False
2023-06-29,29,6,2023,2,26,False
2023-06-30,30,6,2023,2,26,False
2023-07-01,1,7,2023,3,26,True
2023-07-02,2,7,2023,3,26,True
2023-07-03,3,7,2023,3,27,False
2023-07-04,4,7,2023,3,27,False
2023-07-05,5,7,2023,3,27,False
2023-07-06,6,7,2023,3,27,False
2023-07-07,7,7,2023,3,27,False
2023-07-08,8,7,2023,3,27,True
2023-07-09,9,7,2023,3,27,True
2023-07-10,10,7,2023,3,28,False
2023-07-11,11,7,2023,3,28,False
2023-07-12,12,7,2023,3,28,False
2023-07-13,13,7,2023,3,28,False
2023-07-14,14,7,2023,3,28,False
2023-07-15,15,7,2023,3,28,True
2023-07-16,16,7,2023,3,28,True
2023-07-17,17,7,2023,3,29,False
2023-07-18,18,7,2023,3,29,False
2023-07-19,19,7,2023,3,29,False
2023-07-20,20,7,2023,3,29,False
2023-07-21,21,7,2023,3,29,False
2023-07-22,22,7,2023,3,29,True
2023-07-23,23,7,2023,3,29,True
2023-07-24,24,7,2023,3,30,False
2023-07-25,25,7,2023,3,30,False
2023-07-26,26,7,2023,3,30,False
2023-07-27,27,7,2023,3,30,False
2023-07-28,28,7,2023,3,30,False
2023-07-29,29,7,2023,3,30,True
2023-07-30,30,7,2023,3,30,True
2023-07-31,31,7,2023,3,31,False
2023-08-01,1,8,2023,3,31,False
2023-08-02,2,8,2023,3,31,False
2023-08-03,3,8,2023,3,31,False
2023-08-04,4,8,2023,3,31,False
2023-08-05,5,8,2023,3,31,True
2023-08-06,6,8,2023,3,31,True
2023-08-07,7,8,2023,3,32,False
2023-08-08,8,8,2023,3,32,False
2023-08-09,9,8,2023,3,32,False
2023-08-10,10,8,2023,3,32,False
2023-08-11,11,8,2023,3,32,False
2023-08-12,12,8,2023,3,32,True
2023-08-13,13,8,2023,3,32,True
2023-08-14,14,8,2023,3,33,False
2023-08-15,15,8,2023,3,33,False
2023-08-16,16,8,2023,3,33,False
2023-08-17,17,8,2023,3,33,False
2023-08-18,18,8,2023,3,33,False
2023-08-19,19,8,2023,3,33,True
2023-08-20,20,8,2023,3,33,True
2023-08-21,21,8,2023,3,34,False
2023-08-22,22,8,2023,3,34,False
2023-08-23,23,8,2023,3,34,False
2023-08-24,24,8,2023,3,34,False
2023-08-25,25,8,2023,3,34,False
2023-08-26,26,8,2023,3,34,True
2023-08-27,27,8,2023,3,34,True
2023-08-28,28,8,2023,3,35,False
2023-08-29,29,8,2023,3,35,False
2023-08-30,30,8,2023,3,35,False
2023-08-31,31,8,2023,3,35,False
2023-09-01,1,9,2023,3,35,False
2023-09-02,2,9,2023,3,35,True
2023-09-03,3,9,2023,3,35,True
2023-09-04,4,9,2023,3,36,False
2023-09-05,5,9,2023,3,36,False
2023-09-06,6,9,2023,3,36,False
2023-09-07,7,9,2023,3,36,False
2023-09-08,8,9,2023,3,36,False
2023-09-09,9,9,2023,3,36,True
2023-09-10,10,9,2023,3,36,True
2023-09-11,11,9,2023,3,37,False
2023-09-12,12,9,2023,3,37,False
2023-09-13,13,9,2023,3,37,False
2023-09-14,14,9,2023,3,37,False
2023-09-15,15,9,2023,3,37,False
2023-09-16,16,9,2023,3,37,True
2023-09-17,17,9,2023,3,37,True
2023-09-18,18,9,2023,3,38,False
2023-09-19,19,9,2023,3,38,False
2023-09-20,20,9,2023,3,38,False
2023-09-21,21,9,2023,3,38,False
2023-09-22,22,9,2023,3,38,False
2023-09-23,23,9,2023,3,38,True
2023-09-24,24,9,2023,3,38,True
2023-09-25,25,9,2023,3,39,False
2023-09-26,26,9,2023,3,39,False
2023-09-27,27,9,2023,3,39,False
2023-09-28,28,9,2023,3,39,False
2023-09-29,29,9,2023,3,39,False
2023-09-30,30,9,2023,3,39,True
2023-10-01,1,10,2023,4,39,True
2023-10-02,2,10,2023,4,40,False
2023-10-03,3,10,2023,4,40,False
2023-10-04,4,10,2023,4,40,False
2023-10-05,5,10,2023,4,40,False
2023-10-06,6,10,2023,4,40,False
2023-10-07,7,10,2023,4,40,True
2023-10-08,8,10,2023,4,40,True
2023-10-09,9,10,2023,4,41,False
2023-10-10,10,10,2023,4,41,False
2023-10-11,11,10,2023,4,41,False
2023-10-12,12,10,2023,4,41,False
2023-10-13,13,10,2023,4,41,False
2023-10-14,14,10,2023,4,41,True
2023-10-15,15,10,2023,4,41,True
2023-10-16,16,10,2023,4,42,False
2023-10-17,17,10,2023,4,42,False
2023-10-18,18,10,2023,4,42,False
2023-10-19,19,10,2023,4,42,False
2023-10-20,20,10,2023,4,42,False
2023-10-21,21,10,2023,4,42,True
2023-10-22,22,10,2023,4,42,True
2023-10-23,23,10,2023,4,43,False
2023-10-24,24,10,2023,4,43,False
2023-10-25,25,10,2023,4,43,False
2023-10-26,26,10,2023,4,43,False
2023-10-27,27,10,2023,4,43,False
2023-10-28,28,10,2023,4,43,True
2023-10-29,29,10,2023,4,43,True
2023-10-30,30,10,2023,4,44,False
2023-10-31,31,10,2023,4,44,False
2023-11-01,1,11,2023,4,44,False
2023-11-02,2,11,2023,4,44,False
2023-11-03,3,11,2023,4,44,False
2023-11-04,4,11,2023,4,44,True
2023-11-05,5,11,2023,4,44,True
2023-11-06,6,11,2023,4,45,False
2023-11-07,7,11,2023,4,45,False
2023-11-08,8,11,2023,4,45,False
2023-11-09,9,11,2023,4,45,False
2023-11-10,10,11,2023,4,45,False
2023-11-11,11,11,2023,4,45,True
2023-11-12,12,11,2023,4,45,True
2023-11-13,13,11,2023,4,46,False
2023-11-14,14,11,2023,4,46,False
2023-11-15,15,11,2023,4,46,False
2023-11-16,16,11,2023,4,46,False
2023-11-17,17,11,2023,4,46,False
2023-11-18,18,11,2023,4,46,True
2023-11-19,19,11,2023,4,46,True
2023-11-20,20,11,2023,4,47,False
2023-11-21,21,11,2023,4,47,False
2023-11-22,22,11,2023,4,47,False
2023-11-23,23,11,2023,4,47,False
2023-11-24,24,11,2023,4,47,False
2023-11-25,25,11,2023,4,47,True
2023-11-26,26,11,2023,4,47,True
2023-11-27,27,11,2023,4,48,False
2023-11-28,28,11,2023,4,48,False
2023-11-29,29,11,2023,4,48,False
2023-11-30,30,11,2023,4,48,False
2023-12-01,1,12,2023,4,48,False
2023-12-02,2,12,2023,4,48,True
2023-12-03,3,12,2023,4,48,True
2023-12-04,4,12,2023,4,49,False
2023-12-05,5,12,2023,4,49,False
2023-12-06,6,12,2023,4,49,False
2023-12-07,7,12,2023,4,49,False
2023-12-08,8,12,2023,4,49,False
2023-12-09,9,12,2023,4,49,True
2023-12-10,10,12,2023,4,49,True
2023-12-11,11,12,2023,4,50,False
2023-12-12,12,12,2023,4,50,False
2023-12-13,13,12,2023,4,50,False
2023-12-14,14,12,2023,4,50,False
2023-12-15,15,12,2023,4,50,False
2023-12-16,16,12,2023,4,50,True
2023-12-17,17,12,2023,4,50,True
2023-12-18,18,12,2023,4,51,False
2023-12-19,19,12,2023,4,51,False
2023-12-20,20,12,2023,4,51,False
2023-12-21,21,12,2023,4,51,False
2023-12-22,22,12,2023,4,51,False
2023-12-23,23,12,2023,4,51,True
2023-12-24,24,12,2023,4,51,True
2023-12-25,25,12,2023,4,52,False
2023-12-26,26,12,2023,4,52,False
2023-12-27,27,12,2023,4,52,False
2023-12-28,28,12,2023,4,52,False
2023-12-29,29,12,2023,4,52,False
2023-12-30,30,12,2023,4,52,True
2023-12-31,31,12,2023,4,52,True
2024-01-01,1,1,2024,1,1,False
2024-01-02,2,1,2024,1,1,False
2024-01-03,3,1,2024,1,1,False
2024-01-04,4,1,2024,1,1,False
2024-01-05,5,1,2024,1,1,False
2024-01-06,6,1,2024,1,1,True
2024-01-07,7,1,2024,1,1,True
2024-01-08,8,1,2024,1,2,False
2024-01-09,9,1,2024,1,2,False
2024-01-10,10,1,2024,1,2,False
2024-01-11,11,1,2024,1,2,False
2024-01-12,12,1,2024,1,2,False
2024-01-13,13,1,2024,1,2,True
2024-01-14,14,1,2024,1,2,True
2024-01-15,15,1,2024,1,3,False
2024-01-16,16,1,2024,1,3,False
2024-01-17,17,1,2024,1,3,False
2024-01-18,18,1,2024,1,3,False
2024-01-19,19,1,2024,1,3,False
2024-01-20,20,1,2024,1,3,True
2024-01-21,21,1,2024,1,3,True
2024-01-22,22,1,2024,1,4,False
2024-01-23,23,1,2024,1,4,False
2024-01-24,24,1,2024,1,4,False
2024-01-25,25,1,2024,1,4,False
2024-01-26,26,1,2024,1,4,False
2024-01-27,27,1,2024,1,4,True
2024-01-28,28,1,2024,1,4,True
2024-01-29,29,1,2024,1,5,False
2024-01-30,30,1,2024,1,5,False
2024-01-31,31,1,2024,1,5,False
2024-02-01,1,2,2024,1,5,False
2024-02-02,2,2,2024,1,5,False
2024-02-03,3,2,2024,1,5,True
2024-02-04,4,2,2024,1,5,True
2024-02-05,5,2,2024,1,6,False
2024-02-06,6,2,2024,1,6,False
2024-02-07,7,2,2024,1,6,False
2024-02-08,8,2,2024,1,6,False
2024-02-09,9,2,2024,1,6,False
2024-02-10,10,2,2024,1,6,True
2024-02-11,11,2,2024,1,6,True
2024-02-12,12,2,2024,1,7,False
2024-02-13,13,2,2024,1,7,False
2024-02-14,14,2,2024,1,7,False
2024-02-15,15,2,2024,1,7,False
2024-02-16,16,2,2024,1,7,False
2024-02-17,17,2,2024,1,7,True
2024-02-18,18,2,2024,1,7,True
2024-02-19,19,2,2024,1,8,False
2024-02-20,20,2,2024,1,8,False
2024-02-21,21,2,2024,1,8,False
2024-02-22,22,2,2024,1,8,False
2024-02-23,23,2,2024,1,8,False
2024-02-24,24,2,2024,1,8,True
2024-02-25,25,2,2024,1,8,True
2024-02-26,26,2,2024,1,9,False
2024-02-27,27,2,2024,1,9,False
2024-02-28,28,2,2024,1,9,False
2024-02-29,29,2,2024,1,9,False
2024-03-01,1,3,2024,1,9,False
2024-03-02,2,3,2024,1,9,True
2024-03-03,3,3,2024,1,9,True
2024-03-04,4,3,2024,1,10,False
2024-03-05,5,3,2024,1,10,False
2024-03-06,6,3,2024,1,10,False
2024-03-07,7,3,2024,1,10,False
2024-03-08,8,3,2024,1,10,False
2024-03-09,9,3,2024,1,10,True
2024-03-10,10,3,2024,1,10,True
2024-03-11,11,3,2024,1,11,False
2024-03-12,12,3,2024,1,11,False
2024-03-13,13,3,2024,1,11,False
2024-03-14,14,3,2024,1,11,False
2024-03-15,15,3,2024,1,11,False
2024-03-16,16,3,2024,1,11,True
2024-03-17,17,3,2024,1,11,True
2024-03-18,18,3,2024,1,12,False
2024-03-19,19,3,2024,1,12,False
2024-03-20,20,3,2024,1,12,False
2024-03-21,21,3,2024,1,12,False
2024-03-22,22,3,2024,1,12,False
2024-03-23,23,3,2024,1,12,True
2024-03-24,24,3,2024,1,12,True
2024-03-25,25,3,2024,1,13,False
2024-03-26,26,3,2024,1,13,False
2024-03-27,27,3,2024,1,13,False
2024-03-28,28,3,2024,1,13,False
2024-03-29,29,3,2024,1,13,False
2024-03-30,30,3,2024,1,13,True
2024-03-31,31,3,2024,1,13,True
2024-04-01,1,4,2024,2,14,False
2024-04-02,2,4,2024,2,14,False
2024-04-03,3,4,2024,2,14,False
2024-04-04,4,4,2024,2,14,False
2024-04-05,5,4,2024,2,14,False
2024-04-06,6,4,2024,2,14,True
2024-04-07,7,4,2024,2,14,True
2024-04-08,8,4,2024,2,15,False
2024-04-09,9,4,2024,2,15,False
2024-04-10,10,4,2024,2,15,False
2024-04-11,11,4,2024,2,15,False
2024-04-12,12,4,2024,2,15,False
2024-04-13,13,4,2024,2,15,True
2024-04-14,14,4,2024,2,15,True
2024-04-15,15,4,2024,2,16,False
2024-04-16,16,4,2024,2,16,False
2024-04-17,17,4,2024,2,16,False
2024-04-18,18,4,2024,2,16,False
2024-04-19,19,4,2024,2,16,False
2024-04-20,20,4,2024,2,16,True
2024-04-21,21,4,2024,2,16,True
2024-04-22,22,4,2024,2,17,False
2024-04-23,23,4,2024,2,17,False
2024-04-24,24,4,2024,2,17,False
2024-04-25,25,4,2024,2,17,False
2024-04-26,26,4,2024,2,17,False
2024-04-27,27,4,2024,2,17,True
2024-04-28,28,4,2024,2,17,True
2024-04-29,29,4,2024,2,18,False
2024-04-30,30,4,2024,2,18,False
2024-05-01,1,5,2024,2,18,False
2024-05-02,2,5,2024,2,18,False
2024-05-03,3,5,2024,2,18,False
2024-05-04,4,5,2024,2,18,True
2024-05-05,5,5,2024,2,18,True
2024-05-06,6,5,2024,2,19,False
2024-05-07,7,5,2024,2,19,False
2024-05-08,8,5,2024,2,19,False
2024-05-09,9,5,2024,2,19,False
2024-05-10,10,5,2024,2,19,False
2024-05-11,11,5,2024,2,19,True
2024-05-12,12,5,2024,2,19,True
2024-05-13,13,5,2024,2,20,False
2024-05-14,14,5,2024,2,20,False
2024-05-15,15,5,2024,2,20,False
2024-05-16,16,5,2024,2,20,False
2024-05-17,17,5,2024,2,20,False
2024-05-18,18,5,2024,2,20,True
2024-05-19,19,5,2024,2,20,True
2024-05-20,20,5,2024,2,21,False
2024-05-21,21,5,2024,2,21,False
2024-05-22,22,5,2024,2,21,False
2024-05-23,23,5,2024,2,21,False
2024-05-24,24,5,2024,2,21,False
2024-05-25,25,5,2024,2,21,True
2024-05-26,26,5,2024,2,21,True
2024-05-27,27,5,2024,2,22,False
2024-05-28,28,5,2024,2,22,False
2024-05-29,29,5,2024,2,22,False
2024-05-30,30,5,2024,2,22,False
2024-05-31,31,5,2024,2,22,False
2024-06-01,1,6,2024,2,22,True
2024-06-02,2,6,2024,2,22,True
2024-06-03,3,6,2024,2,23,False
2024-06-04,4,6,2024,2,23,False
2024-06-05,5,6,2024,2,23,False
2024-06-06,6,6,2024,2,23,False
2024-06-07,7,6,2024,2,23,False
2024-06-08,8,6,2024,2,23,True
2024-06-09,9,6,2024,2,23,True
2024-06-10,10,6,2024,2,24,False
2024-06-11,11,6,2024,2,24,False
2024-06-12,12,6,2024,2,24,False
2024-06-13,13,6,2024,2,24,False
2024-06-14,14,6,2024,2,24,False
2024-06-15,15,6,2024,2,24,True
2024-06-16,16,6,2024,2,24,True
2024-06-17,17,6,2024,2,25,False
2024-06-18,18,6,2024,2,25,False
2024-06-19,19,6,2024,2,25,False
2024-06-20,20,6,2024,2,25,False
2024-06-21,21,6,2024,2,25,False
2024-06-22,22,6,2024,2,25,True
2024-06-23,23,6,2024,2,25,True
2024-06-24,24,6,2024,2,26,False
2024-06-25,25,6,2024,2,26,False
2024-06-26,26,6,2024,2,26,False
2024-06-27,27,6,2024,2,26,False
2024-06-28,28,6,2024,2,26,False
2024-06-29,29,6,2024,2,26,True
2024-06-30,30,6,2024,2,26,True
2024-07-01,1,7,2024,3,27,False
2024-07-02,2,7,2024,3,27,False
2024-07-03,3,7,2024,3,27,False
2024-07-04,4,7,2024,3,27,False
2024-07-05,5,7,2024,3,27,False
2024-07-06,6,7,2024,3,27,True
2024-07-07,7,7,2024,3,27,True
2024-07-08,8,7,2024,3,28,False
2024-07-09,9,7,2024,3,28,False
2024-07-10,10,7,2024,3,28,False
2024-07-11,11,7,2024,3,28,False
2024-07-12,12,7,2024,3,28,False
2024-07-13,13,7,2024,3,28,True
2024-07-14,14,7,2024,3,28,True
2024-07-15,15,7,2024,3,29,False
2024-07-16,16,7,2024,3,29,False
2024-07-17,17,7,2024,3,29,False
2024-07-18,18,7,2024,3,29,False
2024-07-19,19,7,2024,3,29,False
2024-07-20,20,7,2024,3,29,True
2024-07-21,21,7,2024,3,29,True
2024-07-22,22,7,2024,3,30,False
2024-07-23,23,7,2024,3,30,False
2024-07-24,24,7,2024,3,30,False
2024-07-25,25,7,2024,3,30,False
2024-07-26,26,7,2024,3,30,False
2024-07-27,27,7,2024,3,30,True
2024-07-28,28,7,2024,3,30,True
2024-07-29,29,7,2024,3,31,False
2024-07-30,30,7,2024,3,31,False
2024-07-31,31,7,2024,3,31,False
2024-08-01,1,8,2024,3,31,False
2024-08-02,2,8,2024,3,31,False
2024-08-03,3,8,2024,3,31,True
2024-08-04,4,8,2024,3,31,True
2024-08-05,5,8,2024,3,32,False
2024-08-06,6,8,2024,3,32,False
2024-08-07,7,8,2024,3,32,False
2024-08-08,8,8,2024,3,32,False
2024-08-09,9,8,2024,3,32,False
2024-08-10,10,8,2024,3,32,True
2024-08-11,11,8,2024,3,32,True
2024-08-12,12,8,2024,3,33,False
2024-08-13,13,8,2024,3,33,False
2024-08-14,14,8,2024,3,33,False
2024-08-15,15,8,2024,3,33,False
2024-08-16,16,8,2024,3,33,False
2024-08-17,17,8,2024,3,33,True
2024-08-18,18,8,2024,3,33,True
2024-08-19,19,8,2024,3,34,False
2024-08-20,20,8,2024,3,34,False
2024-08-21,21,8,2024,3,34,False
2024-08-22,22,8,2024,3,34,False
2024-08-23,23,8,2024,3,34,False
2024-08-24,24,8,2024,3,34,True
2024-08-25,25,8,2024,3,34,True
2024-08-26,26,8,2024,3,35,False
2024-08-27,27,8,2024,3,35,False
2024-08-28,28,8,2024,3,35,False
2024-08-29,29,8,2024,3,35,False
2024-08-30,30,8,2024,3,35,False
2024-08-31,31,8,2024,3,35,True
2024-09-01,1,9,2024,3,35,True
2024-09-02,2,9,2024,3,36,False
2024-09-03,3,9,2024,3,36,False
2024-09-04,4,9,2024,3,36,False
2024-09-05,5,9,2024,3,36,False
2024-09-06,6,9,2024,3,36,False
2024-09-07,7,9,2024,3,36,True
2024-09-08,8,9,2024,3,36,True
2024-09-09,9,9,2024,3,37,False
2024-09-10,10,9,2024,3,37,False
2024-09-11,11,9,2024,3,37,False
2024-09-12,12,9,2024,3,37,False
2024-09-13,13,9,2024,3,37,False
2024-09-14,14,9,2024,3,37,True
2024-09-15,15,9,2024,3,37,True
2024-09-16,16,9,2024,3,38,False
2024-09-17,17,9,2024,3,38,False
2024-09-18,18,9,2024,3,38,False
2024-09-19,19,9,2024,3,38,False
2024-09-20,20,9,2024,3,38,False
2024-09-21,21,9,2024,3,38,True
2024-09-22,22,9,2024,3,38,True
2024-09-23,23,9,2024,3,39,False
2024-09-24,24,9,2024,3,39,False
2024-09-25,25,9,2024,3,39,False
2024-09-26,26,9,2024,3,39,False
2024-09-27,27,9,2024,3,39,False
2024-09-28,28,9,2024,3,39,True
2024-09-29,29,9,2024,3,39,True
2024-09-30,30,9,2024,3,40,False
2024-10-01,1,10,2024,4,40,False
2024-10-02,2,10,2024,4,40,False
2024-10-03,3,10,2024,4,40,False
2024-10-04,4,10,2024,4,40,False
2024-10-05,5,10,2024,4,40,True
2024-10-06,6,10,2024,4,40,True
2024-10-07,7,10,2024,4,41,False
2024-10-08,8,10,2024,4,41,False
2024-10-09,9,10,2024,4,41,False
2024-10-10,10,10,2024,4,41,False
2024-10-11,11,10,2024,4,41,False
2024-10-12,12,10,2024,4,41,True
2024-10-13,13,10,2024,4,41,True
2024-10-14,14,10,2024,4,42,False
2024-10-15,15,10,2024,4,42,False
2024-10-16,16,10,2024,4,42,False
2024-10-17,17,10,2024,4,42,False
2024-10-18,18,10,2024,4,42,False
2024-10-19,19,10,2024,4,42,True
2024-10-20,20,10,2024,4,42,True
2024-10-21,21,10,2024,4,43,False
2024-10-22,22,10,2024,4,43,False
2024-10-23,23,10,2024,4,43,False
2024-10-24,24,10,2024,4,43,False
2024-10-25,25,10,2024,4,43,False
2024-10-26,26,10,2024,4,43,True
2024-10-27,27,10,2024,4,43,True
2024-10-28,28,10,2024,4,44,False
2024-10-29,29,10,2024,4,44,False
2024-10-30,30,10,2024,4,44,False
2024-10-31,31,10,2024,4,44,False
2024-11-01,1,11,2024,4,44,False
2024-11-02,2,11,2024,4,44,True
2024-11-03,3,11,2024,4,44,True
2024-11-04,4,11,2024,4,45,False
2024-11-05,5,11,2024,4,45,False
2024-11-06,6,11,2024,4,45,False
2024-11-07,7,11,2024,4,45,False
2024-11-08,8,11,2024,4,45,False
2024-11-09,9,11,2024,4,45,True
2024-11-10,10,11,2024,4,45,True
2024-11-11,11,11,2024,4,46,False
2024-11-12,12,11,2024,4,46,False
2024-11-13,13,11,2024,4,46,False
2024-11-14,14,11,2024,4,46,False
2024-11-15,15,11,2024,4,46,False
2024-11-16,16,11,2024,4,46,True
2024-11-17,17,11,2024,4,46,True
2024-11-18,18,11,2024,4,47,False
2024-11-19,19,11,2024,4,47,False
2024-11-20,20,11,2024,4,47,False
2024-11-21,21,11,2024,4,47,False
2024-11-22,22,11,2024,4,47,False
2024-11-23,23,11,2024,4,47,True
2024-11-24,24,11,2024,4,47,True
2024-11-25,25,11,2024,4,48,False
2024-11-26,26,11,2024,4,48,False
2024-11-27,27,11,2024,4,48,False
2024-11-28,28,11,2024,4,48,False
