date,branch_id,department_id,total_beds,occupied_beds,icu_beds,icu_occupied
2023-03-11,1,1,627,350,47,26
2023-03-12,1,1,627,528,47,42
2023-03-13,1,1,627,533,47,18
2023-03-14,1,1,627,564,47,22
2023-03-15,1,1,627,425,47,29
2023-03-16,1,1,627,504,47,32
2023-03-17,1,1,627,318,47,38
2023-03-18,1,1,627,511,47,29
2023-03-19,1,1,627,490,47,30
2023-03-20,1,1,627,506,47,28
2023-03-21,1,1,627,359,47,28
2023-03-22,1,1,627,440,47,35
2023-03-23,1,1,627,503,47,21
2023-03-24,1,1,627,393,47,33
2023-03-25,1,1,627,412,47,42
2023-03-26,1,1,627,402,47,22
2023-03-27,1,1,627,533,47,44
2023-03-28,1,1,627,580,47,26
2023-03-29,1,1,627,544,47,25
2023-03-30,1,1,627,452,47,33
2023-03-31,1,1,627,336,47,19
2023-04-01,1,1,627,396,47,32
2023-04-02,1,1,627,373,47,35
2023-04-03,1,1,627,490,47,38
2023-04-04,1,1,627,370,47,34
2023-04-05,1,1,627,404,47,18
2023-04-06,1,1,627,509,47,27
2023-04-07,1,1,627,396,47,26
2023-04-08,1,1,627,455,47,34
2023-04-09,1,1,627,445,47,41
2023-04-10,1,1,627,518,47,36
2023-04-11,1,1,627,474,47,26
2023-04-12,1,1,627,335,47,21
2023-04-13,1,1,627,317,47,36
2023-04-14,1,1,627,531,47,26
2023-04-15,1,1,627,489,47,24
2023-04-16,1,1,627,387,47,19
2023-04-17,1,1,627,471,47,37
2023-04-18,1,1,627,386,47,23
2023-04-19,1,1,627,338,47,28
2023-04-20,1,1,627,561,47,26
2023-04-21,1,1,627,430,47,39
2023-04-22,1,1,627,493,47,41
2023-04-23,1,1,627,497,47,39
2023-04-24,1,1,627,590,47,34
2023-04-25,1,1,627,433,47,25
2023-04-26,1,1,627,389,47,36
2023-04-27,1,1,627,535,47,36
2023-04-28,1,1,627,592,47,25
2023-04-29,1,1,627,419,47,23
2023-04-30,1,1,627,389,47,37
2023-05-01,1,1,627,313,47,40
2023-05-02,1,1,627,428,47,41
2023-05-03,1,1,627,461,47,27
2023-05-04,1,1,627,477,47,22
2023-05-05,1,1,627,345,47,33
2023-05-06,1,1,627,465,47,26
2023-05-07,1,1,627,443,47,35
2023-05-08,1,1,627,419,47,33
2023-05-09,1,1,627,535,47,40
2023-05-10,1,1,627,464,47,30
2023-05-11,1,1,627,384,47,38
2023-05-12,1,1,627,428,47,23
2023-05-13,1,1,627,537,47,27
2023-05-14,1,1,627,431,47,42
2023-05-15,1,1,627,565,47,20
2023-05-16,1,1,627,471,47,30
2023-05-17,1,1,627,381,47,43
2023-05-18,1,1,627,482,47,27
2023-05-19,1,1,627,493,47,33
2023-05-20,1,1,627,449,47,26
2023-05-21,1,1,627,585,47,43
2023-05-22,1,1,627,493,47,22
2023-05-23,1,1,627,487,47,25
2023-05-24,1,1,627,372,47,41
2023-05-25,1,1,627,449,47,32
2023-05-26,1,1,627,470,47,30
2023-05-27,1,1,627,521,47,26
2023-05-28,1,1,627,358,47,23
2023-05-29,1,1,627,581,47,44
2023-05-30,1,1,627,518,47,37
2023-05-31,1,1,627,351,47,33
2023-06-01,1,1,627,386,47,21
2023-06-02,1,1,627,359,47,18
2023-06-03,1,1,627,349,47,34
2023-06-04,1,1,627,549,47,40
2023-06-05,1,1,627,353,47,27
2023-06-06,1,1,627,487,47,40
2023-06-07,1,1,627,338,47,35
2023-06-08,1,1,627,469,47,37
2023-06-09,1,1,627,453,47,20
2023-06-10,1,1,627,478,47,19
2023-06-11,1,1,627,351,47,31
2023-06-12,1,1,627,386,47,33
2023-06-13,1,1,627,464,47,23
2023-06-14,1,1,627,485,47,38
2023-06-15,1,1,627,315,47,37
2023-06-16,1,1,627,408,47,42
2023-06-17,1,1,627,356,47,31
2023-06-18,1,1,627,448,47,43
2023-06-19,1,1,627,467,47,42
2023-06-20,1,1,627,552,47,37
2023-06-21,1,1,627,346,47,43
2023-06-22,1,1,627,326,47,37
2023-06-23,1,1,627,374,47,29
2023-06-24,1,1,627,366,47,28
2023-06-25,1,1,627,508,47,35
2023-06-26,1,1,627,578,47,42
2023-06-27,1,1,627,405,47,32
2023-06-28,1,1,627,552,47,36
2023-06-29,1,1,627,545,47,27
2023-06-30,1,1,627,525,47,30
2023-07-01,1,1,627,395,47,29
2023-07-02,1,1,627,380,47,28
2023-07-03,1,1,627,460,47,26
2023-07-04,1,1,627,431,47,27
2023-07-05,1,1,627,503,47,39
2023-07-06,1,1,627,313,47,37
2023-07-07,1,1,627,321,47,38
2023-07-08,1,1,627,433,47,22
2023-07-09,1,1,627,353,47,28
2023-07-10,1,1,627,517,47,44
2023-07-11,1,1,627,329,47,39
2023-07-12,1,1,627,392,47,39
2023-07-13,1,1,627,521,47,20
2023-07-14,1,1,627,381,47,24
2023-07-15,1,1,627,572,47,36
2023-07-16,1,1,627,351,47,27
2023-07-17,1,1,627,479,47,27
2023-07-18,1,1,627,385,47,35
2023-07-19,1,1,627,589,47,42
2023-07-20,1,1,627,380,47,19
2023-07-21,1,1,627,504,47,18
2023-07-22,1,1,627,351,47,42
2023-07-23,1,1,627,385,47,30
2023-07-24,1,1,627,583,47,27
2023-07-25,1,1,627,457,47,40
2023-07-26,1,1,627,477,47,37
2023-07-27,1,1,627,395,47,24
2023-07-28,1,1,627,549,47,24
2023-07-29,1,1,627,509,47,27
2023-07-30,1,1,627,377,47,39
2023-07-31,1,1,627,511,47,30
2023-08-01,1,1,627,381,47,39
2023-08-02,1,1,627,355,47,32
2023-08-03,1,1,627,330,47,31
2023-08-04,1,1,627,389,47,20
2023-08-05,1,1,627,436,47,44
2023-08-06,1,1,627,447,47,22
2023-08-07,1,1,627,592,47,22
2023-08-08,1,1,627,480,47,29
2023-08-09,1,1,627,593,47,34
2023-08-10,1,1,627,581,47,29
2023-08-11,1,1,627,429,47,26
2023-08-12,1,1,627,595,47,27
2023-08-13,1,1,627,443,47,29
2023-08-14,1,1,627,369,47,41
2023-08-15,1,1,627,390,47,24
2023-08-16,1,1,627,361,47,32
2023-08-17,1,1,627,498,47,31
2023-08-18,1,1,627,480,47,42
2023-08-19,1,1,627,370,47,27
2023-08-20,1,1,627,542,47,24
2023-08-21,1,1,627,476,47,18
2023-08-22,1,1,627,543,47,30
2023-08-23,1,1,627,331,47,18
2023-08-24,1,1,627,521,47,25
2023-08-25,1,1,627,321,47,21
2023-08-26,1,1,627,594,47,22
2023-08-27,1,1,627,504,47,33
2023-08-28,1,1,627,487,47,33
2023-08-29,1,1,627,521,47,30
2023-08-30,1,1,627,506,47,37
2023-08-31,1,1,627,402,47,27
2023-09-01,1,1,627,440,47,26
2023-09-02,1,1,627,505,47,40
2023-09-03,1,1,627,377,47,42
2023-09-04,1,1,627,593,47,18
2023-09-05,1,1,627,515,47,36
2023-09-06,1,1,627,485,47,22
2023-09-07,1,1,627,329,47,30
2023-09-08,1,1,627,527,47,42
2023-09-09,1,1,627,355,47,36
2023-09-10,1,1,627,373,47,43
2023-09-11,1,1,627,515,47,41
2023-09-12,1,1,627,478,47,37
2023-09-13,1,1,627,314,47,29
2023-09-14,1,1,627,431,47,27
2023-09-15,1,1,627,527,47,42
2023-09-16,1,1,627,364,47,30
2023-09-17,1,1,627,374,47,42
2023-09-18,1,1,627,415,47,21
2023-09-19,1,1,627,313,47,21
2023-09-20,1,1,627,423,47,21
2023-09-21,1,1,627,436,47,22
2023-09-22,1,1,627,438,47,37
2023-09-23,1,1,627,341,47,31
2023-09-24,1,1,627,477,47,25
2023-09-25,1,1,627,420,47,27
2023-09-26,1,1,627,438,47,31
2023-09-27,1,1,627,415,47,20
2023-09-28,1,1,627,553,47,43
2023-09-29,1,1,627,581,47,24
2023-09-30,1,1,627,574,47,32
2023-10-01,1,1,627,444,47,43
2023-10-02,1,1,627,326,47,26
2023-10-03,1,1,627,414,47,39
2023-10-04,1,1,627,489,47,32
2023-10-05,1,1,627,532,47,32
2023-10-06,1,1,627,353,47,35
2023-10-07,1,1,627,545,47,29
2023-10-08,1,1,627,527,47,41
2023-10-09,1,1,627,495,47,18
2023-10-10,1,1,627,387,47,36
2023-10-11,1,1,627,485,47,20
2023-10-12,1,1,627,390,47,36
2023-10-13,1,1,627,490,47,32
2023-10-14,1,1,627,484,47,33
2023-10-15,1,1,627,558,47,37
2023-10-16,1,1,627,455,47,40
2023-10-17,1,1,627,558,47,41
2023-10-18,1,1,627,418,47,25
2023-10-19,1,1,627,327,47,32
2023-10-20,1,1,627,534,47,42
2023-10-21,1,1,627,361,47,37
2023-10-22,1,1,627,576,47,27
2023-10-23,1,1,627,382,47,27
2023-10-24,1,1,627,457,47,35
2023-10-25,1,1,627,339,47,32
2023-10-26,1,1,627,452,47,42
2023-10-27,1,1,627,577,47,41
2023-10-28,1,1,627,387,47,27
2023-10-29,1,1,627,450,47,26
2023-10-30,1,1,627,465,47,32
2023-10-31,1,1,627,329,47,39
2023-11-01,1,1,627,355,47,40
2023-11-02,1,1,627,346,47,34
2023-11-03,1,1,627,350,47,39
2023-11-04,1,1,627,338,47,26
2023-11-05,1,1,627,370,47,30
2023-11-06,1,1,627,444,47,37
2023-11-07,1,1,627,538,47,21
2023-11-08,1,1,627,502,47,31
2023-11-09,1,1,627,574,47,28
2023-11-10,1,1,627,487,47,21
2023-11-11,1,1,627,569,47,22
2023-11-12,1,1,627,351,47,27
2023-11-13,1,1,627,377,47,40
2023-11-14,1,1,627,406,47,26
2023-11-15,1,1,627,583,47,35
2023-11-16,1,1,627,428,47,27
2023-11-17,1,1,627,349,47,32
2023-11-18,1,1,627,370,47,21
2023-11-19,1,1,627,491,47,41
2023-11-20,1,1,627,568,47,39
2023-11-21,1,1,627,349,47,28
2023-11-22,1,1,627,407,47,39
2023-11-23,1,1,627,392,47,39
2023-11-24,1,1,627,340,47,27
2023-11-25,1,1,627,395,47,33
2023-11-26,1,1,627,495,47,43
2023-11-27,1,1,627,394,47,37
2023-11-28,1,1,627,482,47,30
2023-11-29,1,1,627,569,47,40
2023-11-30,1,1,627,398,47,42
2023-12-01,1,1,627,584,47,39
2023-12-02,1,1,627,519,47,44
2023-12-03,1,1,627,520,47,35
2023-12-04,1,1,627,357,47,41
2023-12-05,1,1,627,343,47,25
2023-12-06,1,1,627,564,47,20
2023-12-07,1,1,627,463,47,40
2023-12-08,1,1,627,345,47,22
2023-12-09,1,1,627,361,47,26
2023-12-10,1,1,627,447,47,34
2023-12-11,1,1,627,578,47,25
2023-12-12,1,1,627,450,47,37
2023-12-13,1,1,627,458,47,21
2023-12-14,1,1,627,453,47,28
2023-12-15,1,1,627,480,47,44
2023-12-16,1,1,627,383,47,29
2023-12-17,1,1,627,338,47,41
2023-12-18,1,1,627,512,47,19
2023-12-19,1,1,627,325,47,40
2023-12-20,1,1,627,335,47,23
2023-12-21,1,1,627,582,47,33
2023-12-22,1,1,627,565,47,20
2023-12-23,1,1,627,390,47,40
2023-12-24,1,1,627,436,47,30
2023-12-25,1,1,627,540,47,36
2023-12-26,1,1,627,384,47,27
2023-12-27,1,1,627,324,47,41
2023-12-28,1,1,627,467,47,43
2023-12-29,1,1,627,583,47,26
2023-12-30,1,1,627,497,47,42
2023-12-31,1,1,627,389,47,44
2024-01-01,1,1,627,333,47,35
2024-01-02,1,1,627,536,47,29
2024-01-03,1,1,627,582,47,30
2024-01-04,1,1,627,396,47,21
2024-01-05,1,1,627,520,47,27
2024-01-06,1,1,627,575,47,33
2024-01-07,1,1,627,411,47,29
2024-01-08,1,1,627,427,47,26
2024-01-09,1,1,627,448,47,18
2024-01-10,1,1,627,490,47,37
2024-01-11,1,1,627,411,47,36
2024-01-12,1,1,627,502,47,29
2024-01-13,1,1,627,484,47,32
2024-01-14,1,1,627,458,47,34
2024-01-15,1,1,627,514,47,42
2024-01-16,1,1,627,357,47,26
2024-01-17,1,1,627,442,47,34
2024-01-18,1,1,627,445,47,41
2024-01-19,1,1,627,366,47,20
2024-01-20,1,1,627,462,47,18
2024-01-21,1,1,627,558,47,29
2024-01-22,1,1,627,412,47,32
2024-01-23,1,1,627,392,47,25
2024-01-24,1,1,627,399,47,44
2024-01-25,1,1,627,384,47,22
2024-01-26,1,1,627,396,47,24
2024-01-27,1,1,627,414,47,19
2024-01-28,1,1,627,373,47,29
2024-01-29,1,1,627,574,47,32
2024-01-30,1,1,627,572,47,43
2024-01-31,1,1,627,520,47,26
2024-02-01,1,1,627,399,47,26
2024-02-02,1,1,627,535,47,25
2024-02-03,1,1,627,494,47,43
2024-02-04,1,1,627,439,47,26
2024-02-05,1,1,627,376,47,40
2024-02-06,1,1,627,574,47,31
2024-02-07,1,1,627,453,47,40
2024-02-08,1,1,627,357,47,26
2024-02-09,1,1,627,590,47,43
2024-02-10,1,1,627,524,47,30
2024-02-11,1,1,627,586,47,44
2024-02-12,1,1,627,526,47,18
2024-02-13,1,1,627,570,47,34
2024-02-14,1,1,627,390,47,37
2024-02-15,1,1,627,313,47,34
2024-02-16,1,1,627,394,47,43
2024-02-17,1,1,627,574,47,32
2024-02-18,1,1,627,511,47,24
2024-02-19,1,1,627,458,47,42
2024-02-20,1,1,627,558,47,33
2024-02-21,1,1,627,366,47,32
2024-02-22,1,1,627,333,47,21
2024-02-23,1,1,627,356,47,19
2024-02-24,1,1,627,393,47,44
2024-02-25,1,1,627,485,47,34
2024-02-26,1,1,627,529,47,27
2024-02-27,1,1,627,538,47,22
2024-02-28,1,1,627,474,47,32
2024-02-29,1,1,627,475,47,36
2024-03-01,1,1,627,347,47,39
2024-03-02,1,1,627,510,47,25
2024-03-03,1,1,627,566,47,34
2024-03-04,1,1,627,538,47,40
2024-03-05,1,1,627,367,47,19
2024-03-06,1,1,627,361,47,37
2024-03-07,1,1,627,560,47,19
2024-03-08,1,1,627,448,47,36
2024-03-09,1,1,627,573,47,43
2024-03-10,1,1,627,381,47,37
2024-03-11,1,1,627,336,47,33
2024-03-12,1,1,627,576,47,32
2024-03-13,1,1,627,509,47,35
2024-03-14,1,1,627,461,47,28
2024-03-15,1,1,627,365,47,37
2024-03-16,1,1,627,581,47,40
2024-03-17,1,1,627,455,47,28
2024-03-18,1,1,627,345,47,33
2024-03-19,1,1,627,592,47,38
2024-03-20,1,1,627,466,47,21
2024-03-21,1,1,627,579,47,18
2024-03-22,1,1,627,330,47,23
2024-03-23,1,1,627,585,47,24
2024-03-24,1,1,627,396,47,30
2024-03-25,1,1,627,352,47,22
2024-03-26,1,1,627,458,47,27
2024-03-27,1,1,627,389,47,23
2024-03-28,1,1,627,395,47,30
2024-03-29,1,1,627,463,47,27
2024-03-30,1,1,627,461,47,19
2024-03-31,1,1,627,356,47,25
2024-04-01,1,1,627,399,47,20
2024-04-02,1,1,627,551,47,22
2024-04-03,1,1,627,365,47,18
2024-04-04,1,1,627,495,47,20
2024-04-05,1,1,627,440,47,19
2024-04-06,1,1,627,357,47,19
2024-04-07,1,1,627,390,47,18
2024-04-08,1,1,627,351,47,42
2024-04-09,1,1,627,583,47,27
2024-04-10,1,1,627,507,47,33
2024-04-11,1,1,627,556,47,44
2024-04-12,1,1,627,374,47,32
2024-04-13,1,1,627,414,47,26
2024-04-14,1,1,627,455,47,41
2024-04-15,1,1,627,429,47,34
2024-04-16,1,1,627,340,47,30
2024-04-17,1,1,627,374,47,36
2024-04-18,1,1,627,330,47,32
2024-04-19,1,1,627,429,47,32
2024-04-20,1,1,627,370,47,23
2024-04-21,1,1,627,574,47,27
2024-04-22,1,1,627,329,47,43
2024-04-23,1,1,627,489,47,39
2024-04-24,1,1,627,593,47,25
2024-04-25,1,1,627,580,47,37
2024-04-26,1,1,627,387,47,44
2024-04-27,1,1,627,393,47,38
2024-04-28,1,1,627,324,47,22
2024-04-29,1,1,627,325,47,31
2024-04-30,1,1,627,500,47,28
2024-05-01,1,1,627,507,47,36
2024-05-02,1,1,627,533,47,36
2024-05-03,1,1,627,564,47,30
2024-05-04,1,1,627,313,47,33
2024-05-05,1,1,627,527,47,33
2024-05-06,1,1,627,490,47,24
2024-05-07,1,1,627,373,47,33
2024-05-08,1,1,627,558,47,34
2024-05-09,1,1,627,459,47,24
2024-05-10,1,1,627,557,47,30
2024-05-11,1,1,627,435,47,23
2024-05-12,1,1,627,570,47,40
2024-05-13,1,1,627,448,47,41
2024-05-14,1,1,627,547,47,26
2024-05-15,1,1,627,396,47,18
2024-05-16,1,1,627,469,47,34
2024-05-17,1,1,627,448,47,22
2024-05-18,1,1,627,429,47,34
2024-05-19,1,1,627,326,47,30
2024-05-20,1,1,627,456,47,18
2024-05-21,1,1,627,443,47,21
2024-05-22,1,1,627,444,47,21
2024-05-23,1,1,627,452,47,44
2024-05-24,1,1,627,449,47,30
2024-05-25,1,1,627,377,47,31
2024-05-26,1,1,627,317,47,35
2024-05-27,1,1,627,503,47,32
2024-05-28,1,1,627,516,47,31
2024-05-29,1,1,627,326,47,42
2024-05-30,1,1,627,434,47,35
2024-05-31,1,1,627,418,47,30
2024-06-01,1,1,627,533,47,23
2024-06-02,1,1,627,357,47,33
2024-06-03,1,1,627,560,47,23
2024-06-04,1,1,627,567,47,44
2024-06-05,1,1,627,530,47,35
2024-06-06,1,1,627,406,47,44
2024-06-07,1,1,627,423,47,42
2024-06-08,1,1,627,446,47,31
2024-06-09,1,1,627,387,47,34
2024-06-10,1,1,627,453,47,34
2024-06-11,1,1,627,427,47,31
2024-06-12,1,1,627,542,47,20
2024-06-13,1,1,627,335,47,27
2024-06-14,1,1,627,376,47,43
2024-06-15,1,1,627,554,47,38
2024-06-16,1,1,627,571,47,34
2024-06-17,1,1,627,429,47,31
2024-06-18,1,1,627,490,47,34
2024-06-19,1,1,627,452,47,31
2024-06-20,1,1,627,476,47,35
2024-06-21,1,1,627,531,47,42
2024-06-22,1,1,627,546,47,42
2024-06-23,1,1,627,367,47,24
2024-06-24,1,1,627,576,47,25
2024-06-25,1,1,627,537,47,29
2024-06-26,1,1,627,404,47,33
2024-06-27,1,1,627,496,47,21
2024-06-28,1,1,627,488,47,31
2024-06-29,1,1,627,453,47,26
2024-06-30,1,1,627,404,47,26
2024-07-01,1,1,627,577,47,42
2024-07-02,1,1,627,367,47,40
2024-07-03,1,1,627,320,47,36
2024-07-04,1,1,627,410,47,22
2024-07-05,1,1,627,346,47,27
2024-07-06,1,1,627,342,47,31
2024-07-07,1,1,627,514,47,23
2024-07-08,1,1,627,461,47,38
2024-07-09,1,1,627,516,47,27
2024-07-10,1,1,627,472,47,30
2024-07-11,1,1,627,554,47,35
2024-07-12,1,1,627,537,47,42
2024-07-13,1,1,627,498,47,29
2024-07-14,1,1,627,433,47,29
2024-07-15,1,1,627,342,47,26
2024-07-16,1,1,627,360,47,39
2024-07-17,1,1,627,397,47,38
2024-07-18,1,1,627,430,47,38
2024-07-19,1,1,627,351,47,18
2024-07-20,1,1,627,531,47,39
2024-07-21,1,1,627,392,47,28
2024-07-22,1,1,627,313,47,42
2024-07-23,1,1,627,477,47,24
2024-07-24,1,1,627,504,47,43
2024-07-25,1,1,627,521,47,36
2024-07-26,1,1,627,351,47,35
2024-07-27,1,1,627,381,47,41
2024-07-28,1,1,627,539,47,32
2024-07-29,1,1,627,548,47,23
2024-07-30,1,1,627,463,47,34
2024-07-31,1,1,627,571,47,22
2024-08-01,1,1,627,497,47,20
2024-08-02,1,1,627,470,47,27
2024-08-03,1,1,627,472,47,28
2024-08-04,1,1,627,393,47,22
2024-08-05,1,1,627,512,47,24
2024-08-06,1,1,627,499,47,37
2024-08-07,1,1,627,471,47,20
2024-08-08,1,1,627,496,47,43
2024-08-09,1,1,627,434,47,26
2024-08-10,1,1,627,397,47,30
2024-08-11,1,1,627,516,47,27
2024-08-12,1,1,627,414,47,23
2024-08-13,1,1,627,505,47,40
2024-08-14,1,1,627,510,47,18
2024-08-15,1,1,627,494,47,31
2024-08-16,1,1,627,362,47,37
2024-08-17,1,1,627,494,47,32
2024-08-18,1,1,627,370,47,43
2024-08-19,1,1,627,561,47,18
2024-08-20,1,1,627,591,47,21
2024-08-21,1,1,627,433,47,32
2024-08-22,1,1,627,442,47,35
2024-08-23,1,1,627,421,47,37
2024-08-24,1,1,627,368,47,24
2024-08-25,1,1,627,473,47,36
2024-08-26,1,1,627,425,47,40
2024-08-27,1,1,627,377,47,20
2024-08-28,1,1,627,533,47,18
2024-08-29,1,1,627,335,47,40
2024-08-30,1,1,627,327,47,31
2024-08-31,1,1,627,350,47,37
2024-09-01,1,1,627,589,47,44
2024-09-02,1,1,627,339,47,30
2024-09-03,1,1,627,423,47,33
2024-09-04,1,1,627,503,47,28
2024-09-05,1,1,627,567,47,33
2024-09-06,1,1,627,449,47,21
2024-09-07,1,1,627,364,47,26
2024-09-08,1,1,627,342,47,27
2024-09-09,1,1,627,445,47,18
2024-09-10,1,1,627,376,47,23
2024-09-11,1,1,627,340,47,25
2024-09-12,1,1,627,428,47,32
2024-09-13,1,1,627,356,47,44
2024-09-14,1,1,627,496,47,24
2024-09-15,1,1,627,541,47,37
2024-09-16,1,1,627,416,47,20
2024-09-17,1,1,627,448,47,42
2024-09-18,1,1,627,418,47,28
2024-09-19,1,1,627,479,47,38
2024-09-20,1,1,627,391,47,33
2024-09-21,1,1,627,460,47,25
2024-09-22,1,1,627,442,47,18
2024-09-23,1,1,627,316,47,27
2024-09-24,1,1,627,576,47,41
2024-09-25,1,1,627,417,47,36
2024-09-26,1,1,627,352,47,38
2024-09-27,1,1,627,592,47,19
2024-09-28,1,1,627,355,47,39
2024-09-29,1,1,627,553,47,40
2024-09-30,1,1,627,564,47,18
2024-10-01,1,1,627,483,47,23
2024-10-02,1,1,627,544,47,24
2024-10-03,1,1,627,446,47,20
2024-10-04,1,1,627,501,47,25
2024-10-05,1,1,627,358,47,43
2024-10-06,1,1,627,577,47,32
2024-10-07,1,1,627,397,47,26
2024-10-08,1,1,627,423,47,44
2024-10-09,1,1,627,575,47,19
2024-10-10,1,1,627,545,47,30
2024-10-11,1,1,627,313,47,23
2024-10-12,1,1,627,468,47,30
2024-10-13,1,1,627,507,47,25
2024-10-14,1,1,627,412,47,25
2024-10-15,1,1,627,389,47,23
2024-10-16,1,1,627,520,47,34
2024-10-17,1,1,627,543,47,20
2024-10-18,1,1,627,374,47,25
2024-10-19,1,1,627,344,47,19
2024-10-20,1,1,627,318,47,22
2024-10-21,1,1,627,427,47,38
2024-10-22,1,1,627,525,47,25
2024-10-23,1,1,627,449,47,25
2024-10-24,1,1,627,350,47,30
2024-10-25,1,1,627,422,47,29
2024-10-26,1,1,627,463,47,33
2024-10-27,1,1,627,592,47,31
2024-10-28,1,1,627,465,47,31
2024-10-29,1,1,627,505,47,43
2024-10-30,1,1,627,512,47,20
2024-10-31,1,1,627,452,47,35
2024-11-01,1,1,627,568,47,23
2024-11-02,1,1,627,404,47,18
2024-11-03,1,1,627,426,47,29
2024-11-04,1,1,627,538,47,24
2024-11-05,1,1,627,316,47,44
2024-11-06,1,1,627,388,47,23
2024-11-07,1,1,627,567,47,44
2024-11-08,1,1,627,522,47,30
2024-11-09,1,1,627,431,47,37
2024-11-10,1,1,627,347,47,32
2024-11-11,1,1,627,325,47,37
2024-11-12,1,1,627,494,47,40
2024-11-13,1,1,627,594,47,33
2024-11-14,1,1,627,405,47,40
2024-11-15,1,1,627,554,47,44
2024-11-16,1,1,627,507,47,28
2024-11-17,1,1,627,476,47,19
2024-11-18,1,1,627,331,47,22
2024-11-19,1,1,627,542,47,44
2024-11-20,1,1,627,574,47,42
2024-11-21,1,1,627,561,47,25
2024-11-22,1,1,627,595,47,34
2024-11-23,1,1,627,562,47,41
2024-11-24,1,1,627,394,47,26
2024-11-25,1,1,627,397,47,26
2024-11-26,1,1,627,414,47,39
2024-11-27,1,1,627,427,47,18
2024-11-28,1,1,627,377,47,39
2024-11-29,1,1,627,370,47,38
2024-11-30,1,1,627,442,47,37
2024-12-01,1,1,627,507,47,33
2024-12-02,1,1,627,501,47,30
2024-12-03,1,1,627,566,47,35
2024-12-04,1,1,627,321,47,44
2024-12-05,1,1,627,491,47,32
2024-12-06,1,1,627,450,47,36
2024-12-07,1,1,627,587,47,31
2024-12-08,1,1,627,416,47,34
2024-12-09,1,1,627,333,47,38
2024-12-10,1,1,627,472,47,39
2024-12-11,1,1,627,563,47,31
2024-12-12,1,1,627,446,47,33
2024-12-13,1,1,627,425,47,41
2024-12-14,1,1,627,383,47,39
2024-12-15,1,1,627,406,47,41
2024-12-16,1,1,627,592,47,33
2024-12-17,1,1,627,491,47,38
2024-12-18,1,1,627,416,47,42
2024-12-19,1,1,627,472,47,23
2024-12-20,1,1,627,390,47,43
2024-12-21,1,1,627,343,47,26
2024-12-22,1,1,627,338,47,32
2024-12-23,1,1,627,533,47,27
2024-12-24,1,1,627,449,47,41
2024-12-25,1,1,627,528,47,35
2024-12-26,1,1,627,485,47,31
2024-12-27,1,1,627,496,47,41
2024-12-28,1,1,627,374,47,30
2024-12-29,1,1,627,518,47,39
2024-12-30,1,1,627,580,47,39
2024-12-31,1,1,627,569,47,25
2023-01-01,1,2,627,447,47,20
2023-01-02,1,2,627,503,47,21
